appid,release_year,Priece,user_score,meta_score
17300,2008,$7.49,79%,91%
17330,2008,$4.99,84%,84%
17390,2008,$4.99,91%,84%
17410,2009,$4.99,87%,81%
17430,2008,,74%,65%
17440,2008,$4.99,88%,53%
17450,2009,$7.49,91%,91%
17460,2008,$19.99,93%,89%
17470,2009,$4.99,91%,86%
17480,2009,$4.99,85%,82%
17500,2007,,84%,
17570,2010,,87%,
17580,2005,,84%,
17710,2011,$0.99,78%,71%
17740,2008,,85%,
18000,2008,$7.99,88%,
18020,2008,$7.99,83%,
18040,2010,$3.74,94%,77%
18050,2010,$3.74,87%,78%
18070,2011,$14.99,78%,63%
18110,2009,,84%,72%
18120,2012,$0.99,78%,73%
18300,2008,$0.99,76%,
18400,2008,$9.99,46%,72%
18420,2008,$9.99,80%,78%
18430,2008,$9.99,,78%
18480,2009,$2.49,58%,63%
18500,2008,$2.49,96%,81%
18600,2009,$9.99,,
18700,2009,$0.99,68%,75%
18820,2010,$1.24,79%,
19000,2008,$3.99,48%,64%
19020,2010,$0.99,,
19030,2010,$2.99,74%,63%
19080,2010,$0.99,,
19200,2008,$4.99,57%,
19320,2012,$4.99,,
19680,2011,$7.99,89%,75%
19800,2008,$3.99,87%,84%
19810,2008,$9.99,,72%
19830,2003,$2.49,92%,85%
19900,2008,$2.99,77%,85%
19980,2008,$1.99,79%,82%
20200,2008,$19.99,,
20500,2009,$4.99,90%,82%
20510,2008,$2.99,85%,75%
20530,2001,$2.49,87%,78%
20540,2009,$3.99,92%,70%
20550,2003,$2.49,53%,64%
20570,2010,$4.99,91%,84%
20700,2003,$1.99,80%,
20710,2007,$1.99,83%,83%
20820,2010,$1.99,94%,84%
20900,2008,$1.49,88%,86%
20920,2011,$2.99,89%,88%
21000,2008,$4.99,88%,80%
21010,2009,$4.99,68%,61%
21030,2009,$4.99,65%,44%
21090,2010,$8.24,94%,88%
21100,2011,$4.99,72%,74%
21110,2010,$8.24,,88%
21120,2010,$8.24,,88%
21130,2010,$4.99,86%,79%
21300,2008,$4.99,,
21500,2008,$4.99,,
21600,2009,,38%,
21640,2009,,79%,65%
21660,2009,,69%,91%
21670,2009,$1.99,73%,69%
21680,2009,$1.99,61%,86%
21690,2009,$4.99,87%,86%
21780,2007,$2.49,90%,61%
21800,2009,$2.99,79%,68%
21980,2009,$1.99,85%,78%
22000,2008,$10.04,94%,90%
22100,2008,$2.49,92%,72%
22120,2009,$1.49,94%,78%
22130,2006,$3.74,85%,83%
22140,1986,,50%,67%
22180,2007,$1.49,90%,73%
22200,2009,$1.99,85%,77%
22230,2011,$9.99,91%,74%
22300,2008,$2.99,79%,91%
22310,2009,$1.24,66%,29%
22320,2002,$4.49,95%,89%
22330,2007,$4.49,95%,94%
22340,2006,$1.49,68%,76%
22350,2011,,61%,70%
22370,2009,$6.59,78%,91%
22380,2010,$2.99,96%,84%
22450,2011,$1.49,73%,61%
22490,2010,$9.99,95%,84%
22500,2009,$4.19,85%,
22600,2010,$2.99,86%,79%
22610,2010,$0.99,73%,64%
22650,2010,$0.99,68%,63%
22670,2010,$0.99,72%,64%
23130,,,,
23140,,,,
23150,2010,$0.99,,
23300,2009,$2.39,60%,
23310,2009,,81%,66%
23380,2009,$2.39,53%,71%
23400,2008,$4.99,83%,63%
23420,2008,$2.49,66%,79%
23450,2009,$4.99,73%,72%
23460,2009,$0.51,81%,73%
23490,2009,$4.99,88%,79%
23500,2009,$9.99,46%,72%
23530,2011,$9.99,88%,69%
23600,2010,$2.49,75%,79%
23700,2009,$1.49,57%,
24010,2022,$9.99,68%,
24200,2011,,80%,72%
24240,2011,$1.49,93%,76%
24400,2009,$1.24,69%,
24410,2009,$2.49,,
24420,2007,$9.99,88%,82%
24460,2011,$1.24,,54%
24480,2012,$2.49,53%,66%
24640,2010,$9.99,,
24650,2010,$9.99,,
24660,1992,,,
24670,2011,$4.99,71%,
24720,2009,$4.99,87%,70%
24740,2009,,87%,87%
24780,2003,$4.99,80%,
24790,2007,$3.74,90%,85%
24800,2009,$4.99,83%,64%
24810,2009,$3.74,95%,77%
24840,2007,,80%,78%
24870,2009,,76%,83%
24960,2010,$4.49,85%,87%
24980,2010,$19.99,94%,94%
25000,,$7.99,77%,
25010,2005,$1.99,79%,
25500,2009,$2.99,56%,
25600,2007,,86%,75%
25620,2010,$2.99,85%,
25700,2009,$4.99,83%,79%
25800,2007,$3.74,83%,83%
