,appid,name,developer,publisher,positive,negative,average_playtime_from_2009,initialprice,languages,genre,release_year,Korean,indie,discount,positive_ratio,price_group
2593,287600,Sunset,Tale of Tales,Tale of Tales,174,78,0.0,23608,"English, Dutch, Spanish - Spain, Portuguese - Brazil, German, Russian, French, Italian",Adventure,2015,0,1,0,0.6904761904761905,2만원~ 3만원
2594,287700,METAL GEAR SOLID V: THE PHANTOM PAIN,Konami Digital Entertainment,Konami Digital Entertainment,64202,6639,51.0,23608,"English, French, Italian, German, Spanish - Spain, Japanese, Portuguese - Brazil, Russian",Action,2015,0,0,1,0.9062830846543668,2만원~ 3만원
2595,287720,Nostradamus: The Last Prophecy,Microids,Microids,122,51,1.0,5893,"English, French, Italian, German, Spanish - Spain, Russian",Adventure,2014,0,0,1,0.7052023121387283,만원이하
2596,287740,The Witch's Yarn,Mousechief,Mousechief,4,22,0.0,11798,English,Adventure,2014,0,1,0,0.15384615384615385,만원~2만원
2599,287860,8-Bit Commando,2dengine,2dengine,168,135,3.0,4712,"English, French, Swedish, Bulgarian, Russian, Hungarian, Korean, Polish, Italian, German, Spanish - Spain, Portuguese - Brazil, Japanese, Dutch, Ukrainian, Danish, Romanian, Czech, Arabic, Simplified Chinese",Action,2011,1,1,0,0.5544554455445545,만원이하
2601,288020,Rex Rocket,"Castle Pixel, LLC.","Castle Pixel, LLC.",175,55,4.0,1169,English,Action,2014,0,1,0,0.7608695652173914,만원이하
2602,288040,Actual Sunlight,WZOGI,WZOGI,411,134,5.0,5893,"English, French, Italian, Spanish - Spain, Portuguese - Brazil, Simplified Chinese",Adventure,2014,0,1,0,0.7541284403669725,만원이하
2603,288060,Whispering Willows,Night Light Interactive,Akupara Games,1151,251,4.0,11798,"English, French, Italian, German, Spanish - Spain, Russian, Polish, Ukrainian, Portuguese - Brazil, Simplified Chinese",Adventure,2014,0,1,0,0.8209700427960057,만원~2만원
2604,288120,Dungeonmans,Adventurepro Games LLC,Adventurepro Games LLC,815,73,15.0,5893,English,Adventure,2014,0,1,0,0.9177927927927928,만원이하
2605,288160,The Room,Fireproof Games,Fireproof Games,18781,436,4.0,5893,"English, French, Italian, German, Spanish - Spain, Portuguese - Brazil",Adventure,2014,0,1,0,0.9773117552167352,만원이하
2606,288370,Strike Suit Zero: Director's Cut,Born Ready Games,Born Ready Games,263,61,0.0,23608,"English, French, Italian, German, Spanish - Spain",Action,2014,0,1,0,0.8117283950617284,2만원~ 3만원
2607,288470,Fable Anniversary,Lionhead Studios,Xbox Game Studios,8115,1556,14.0,41323,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Traditional Chinese",RPG,2014,1,0,0,0.8391066073828973,4만원~5만원
2608,288500,Black Rainbow,Cateia Games,Libredia Entertainment,28,16,3.0,8255,"English, French, Italian, German, Spanish - Spain, Czech, Dutch, Korean, Polish, Portuguese - Brazil, Russian",Adventure,2014,1,1,0,0.6363636363636364,만원이하
2609,288610,Kingdom Tales 2,Cateia Games,Libredia Entertainment,8,8,0.0,8255,"English, French, Italian, German, Spanish - Spain, Czech, Dutch, Portuguese, Portuguese - Brazil, Russian",Casual,2014,0,0,0,0.5,만원이하
2610,288630,Sharpe Investigations: Death on the Seine,Icarus Games,Libredia Entertainment,11,11,2.0,8255,"English, French, Italian, German, Spanish - Spain, Dutch, Portuguese - Brazil",Adventure,2014,0,0,0,0.5,만원이하
2611,288650,HTR+ Slot Car Simulation,QUByte Interactive,Libredia Entertainment,32,19,0.0,8255,"English, German",Racing,2014,0,0,0,0.6274509803921569,만원이하
2612,288670,Myths Of Orion: Light From The North,Cateia Games,Libredia Entertainment,29,7,4.0,8255,"English, French, Italian, German, Spanish - Spain",Adventure,2014,0,0,0,0.8055555555555556,만원이하
2613,288690,Sudokuball Detective,Witan Entertainment,Libredia,7,14,0.0,3531,"English, French, Italian, German, Spanish - Spain",Casual,2009,0,0,0,0.3333333333333333,만원이하
2614,288730,Redneck Racers,"Play, Silden",Libredia,25,35,0.0,2350,English,Casual,2010,0,0,0,0.4166666666666667,만원이하
2615,288750,Hotel Collectors Edition,Cateia Games,Libredia Entertainment,14,21,0.0,8255,English,Adventure,2010,0,1,0,0.4,만원이하
2616,288790,White Haven Mysteries,Gogii Games,Strategy First,46,40,3.0,5893,English,Adventure,2014,0,0,0,0.5348837209302325,만원이하
2618,288830,Voodoo Whisperer Curse of a Legend,Gogii Games,Strategy First,46,38,4.0,5893,English,Adventure,2014,0,0,0,0.5476190476190477,만원이하
2619,288840,Haunted Past: Realm of Ghosts,Gogii Games,Strategy First,124,29,3.0,5893,English,Adventure,2014,0,0,0,0.8104575163398693,만원이하
2620,288880,Pineview Drive,VIS-Games,United Independent Entertainment GmbH,338,187,2.0,23608,"English, German, French, Italian, Spanish - Spain, Portuguese - Brazil, Turkish, Polish, Hungarian, Russian",Action,2014,0,1,0,0.6438095238095238,2만원~ 3만원
2621,288930,The Charnel House Trilogy,Owl Cave,Owl Cave,464,109,3.0,7074,English,Adventure,2015,0,1,0,0.8097731239092496,만원이하
2622,288970,Dark Lore Mysteries: The Hunt For Truth,Gogii Games,Strategy First,42,23,3.0,5893,English,Adventure,2014,0,0,0,0.6461538461538462,만원이하
2623,289050,Shannon Tweed's Attack Of The Groupies,Gogii Games,Strategy First,21,25,0.0,5893,English,Casual,2014,0,0,1,0.45652173913043476,만원이하
